pair_id,source_id,tier,source_repo,repo_commit,redirect_file,old_url_path,new_url_path,status_code,rule_type,included_in_core_eval,raw_rule,raw_source,raw_target,conditions
b5ede9ac150d2378c4c6,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/android/build-a-backend/functions/graphql-server-lambda,/android/build-a-backend/functions,301,unknown,false,"{""source"": ""/android/build-a-backend/functions/graphql-server-lambda/"", ""status"": ""301"", ""target"": ""/android/build-a-backend/functions/""}",/android/build-a-backend/functions/graphql-server-lambda/,/android/build-a-backend/functions/,
ed99a3168f38e6ad838f,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/angular/build-a-backend/functions/graphql-server-lambda,/angular/build-a-backend/functions,301,unknown,false,"{""source"": ""/angular/build-a-backend/functions/graphql-server-lambda/"", ""status"": ""301"", ""target"": ""/angular/build-a-backend/functions/""}",/angular/build-a-backend/functions/graphql-server-lambda/,/angular/build-a-backend/functions/,
f293ae481b64003662b1,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/nextjs/build-a-backend/functions/graphql-server-lambda,/nextjs/build-a-backend/functions,301,unknown,false,"{""source"": ""/nextjs/build-a-backend/functions/graphql-server-lambda/"", ""status"": ""301"", ""target"": ""/nextjs/build-a-backend/functions/""}",/nextjs/build-a-backend/functions/graphql-server-lambda/,/nextjs/build-a-backend/functions/,
26e431d7b45438c25aa7,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/react/build-a-backend/functions/graphql-server-lambda,/react/build-a-backend/functions,301,unknown,false,"{""source"": ""/react/build-a-backend/functions/graphql-server-lambda/"", ""status"": ""301"", ""target"": ""/react/build-a-backend/functions/""}",/react/build-a-backend/functions/graphql-server-lambda/,/react/build-a-backend/functions/,
b6caa4ffc02e076091e4,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/vue/build-a-backend/functions/graphql-server-lambda,/vue/build-a-backend/functions,301,unknown,false,"{""source"": ""/vue/build-a-backend/functions/graphql-server-lambda/"", ""status"": ""301"", ""target"": ""/vue/build-a-backend/functions/""}",/vue/build-a-backend/functions/graphql-server-lambda/,/vue/build-a-backend/functions/,
c57dc6c55b5e70effb8b,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/hosting/custom-domains/q/platform/js,/javascript/deploy-and-host/custom-configuration/configure-custom-domain,301,unknown,false,"{""source"": ""/guides/hosting/custom-domains/q/platform/js/"", ""status"": ""301"", ""target"": ""/javascript/deploy-and-host/custom-configuration/configure-custom-domain/""}",/guides/hosting/custom-domains/q/platform/js/,/javascript/deploy-and-host/custom-configuration/configure-custom-domain/,
151328e3d8ede322747a,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/hosting/gatsby/q/platform/js,/javascript/deploy-and-host/frameworks/deploy-gatsby-site,301,unknown,false,"{""source"": ""/guides/hosting/gatsby/q/platform/js/"", ""status"": ""301"", ""target"": ""/javascript/deploy-and-host/frameworks/deploy-gatsby-site/""}",/guides/hosting/gatsby/q/platform/js/,/javascript/deploy-and-host/frameworks/deploy-gatsby-site/,
8e7f83e38a42f1a27708,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/hosting/git-based-deployments/q/platform/js,/javascript/deploy-and-host/deployment/deploy-static-site-github,301,unknown,false,"{""source"": ""/guides/hosting/git-based-deployments/q/platform/js/"", ""status"": ""301"", ""target"": ""/javascript/deploy-and-host/deployment/deploy-static-site-github/""}",/guides/hosting/git-based-deployments/q/platform/js/,/javascript/deploy-and-host/deployment/deploy-static-site-github/,
36fd3decf2d7fa5f13a9,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/hosting/gridsome/q/platform/js,/javascript/deploy-and-host/frameworks/deploy-gridsome-site,301,unknown,false,"{""source"": ""/guides/hosting/gridsome/q/platform/js/"", ""status"": ""301"", ""target"": ""/javascript/deploy-and-host/frameworks/deploy-gridsome-site/""}",/guides/hosting/gridsome/q/platform/js/,/javascript/deploy-and-host/frameworks/deploy-gridsome-site/,
0b8e4a0955ef03d86450,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/hosting/local-deployments/q/platform/js,/javascript/deploy-and-host/deployment/deploy-static-site-locally,301,unknown,false,"{""source"": ""/guides/hosting/local-deployments/q/platform/js/"", ""status"": ""301"", ""target"": ""/javascript/deploy-and-host/deployment/deploy-static-site-locally/""}",/guides/hosting/local-deployments/q/platform/js/,/javascript/deploy-and-host/deployment/deploy-static-site-locally/,
969473f0de35830075e2,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/hosting/nextjs/q/platform/js,/javascript/deploy-and-host/frameworks/deploy-nextjs-app,301,unknown,false,"{""source"": ""/guides/hosting/nextjs/q/platform/js/"", ""status"": ""301"", ""target"": ""/javascript/deploy-and-host/frameworks/deploy-nextjs-app/""}",/guides/hosting/nextjs/q/platform/js/,/javascript/deploy-and-host/frameworks/deploy-nextjs-app/,
feb1e1f7b2e75be14808,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/hosting/nuxt/q/platform/js,/javascript/deploy-and-host/frameworks/deploy-nuxt-site,301,unknown,false,"{""source"": ""/guides/hosting/nuxt/q/platform/js/"", ""status"": ""301"", ""target"": ""/javascript/deploy-and-host/frameworks/deploy-nuxt-site/""}",/guides/hosting/nuxt/q/platform/js/,/javascript/deploy-and-host/frameworks/deploy-nuxt-site/,
6f20127df4e9a06a3c02,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/hosting/password-protected-deployments/q/platform/js,/javascript/deploy-and-host/deployment/password-protected-deployments,301,unknown,false,"{""source"": ""/guides/hosting/password-protected-deployments/q/platform/js/"", ""status"": ""301"", ""target"": ""/javascript/deploy-and-host/deployment/password-protected-deployments/""}",/guides/hosting/password-protected-deployments/q/platform/js/,/javascript/deploy-and-host/deployment/password-protected-deployments/,
